time,pco2_in_sea_water,pco2_in_sea_water_qc_agg,z
UTC,microatm,,m
2007-07-19T18:16:00Z,420.5,2,0.0
2007-07-19T21:16:00Z,414.5,2,0.0
2007-07-19T23:00:00Z,412.8,2,0.0
2007-07-19T23:30:00Z,409.5,2,0.0
2007-07-20T00:00:00Z,408.2,2,0.0
2007-07-20T00:30:00Z,408.0,2,0.0
2007-07-20T01:00:00Z,404.4,2,0.0
2007-07-20T01:30:00Z,404.7,2,0.0
2007-07-20T02:00:00Z,406.4,2,0.0
2007-07-20T02:30:00Z,407.4,2,0.0
2007-07-20T03:00:00Z,409.8,2,0.0
2007-07-20T03:30:00Z,410.9,2,0.0
2007-07-20T04:00:00Z,411.4,2,0.0
2007-07-20T04:30:00Z,412.3,2,0.0
2007-07-20T05:00:00Z,412.7,2,0.0
2007-07-20T05:30:00Z,413.8,2,0.0
2007-07-20T06:00:00Z,415.1,2,0.0
2007-07-20T06:30:00Z,417.0,2,0.0
2007-07-20T07:00:00Z,418.3,2,0.0
2007-07-20T07:30:00Z,419.9,2,0.0
2007-07-20T08:00:00Z,421.9,2,0.0
2007-07-20T08:30:00Z,423.5,2,0.0
2007-07-20T09:00:00Z,424.3,2,0.0
2007-07-20T09:30:00Z,426.4,2,0.0
2007-07-20T12:16:00Z,431.7,2,0.0
2007-07-20T15:16:00Z,428.1,2,0.0
2007-07-20T18:16:00Z,431.4,2,0.0
2007-07-20T21:16:00Z,433.2,2,0.0
2007-07-21T00:16:00Z,423.7,2,0.0
2007-07-21T03:16:00Z,422.7,2,0.0
2007-07-21T06:16:00Z,420.7,2,0.0
2007-07-21T09:16:00Z,424.0,2,0.0
2007-07-21T12:16:00Z,428.7,2,0.0
2007-07-21T15:16:00Z,427.2,2,0.0
2007-07-21T18:16:00Z,421.5,2,0.0
2007-07-21T21:16:00Z,413.5,2,0.0
2007-07-22T00:16:00Z,413.4,2,0.0
2007-07-22T03:16:00Z,408.2,2,0.0
2007-07-22T06:16:00Z,411.0,2,0.0
2007-07-22T09:16:00Z,403.6,2,0.0
2007-07-22T12:16:00Z,NaN,2,0.0
2007-07-22T15:16:00Z,398.5,2,0.0
2007-07-22T18:16:00Z,394.5,2,0.0
2007-07-22T21:16:00Z,388.5,2,0.0
2007-07-23T00:16:00Z,389.0,2,0.0
2007-07-23T03:16:00Z,391.5,2,0.0
2007-07-23T06:16:00Z,397.2,2,0.0
2007-07-23T09:16:00Z,397.0,2,0.0
2007-07-23T12:16:00Z,400.8,2,0.0
2007-07-23T15:16:00Z,397.0,2,0.0
2007-07-23T18:16:00Z,394.4,2,0.0
2007-07-23T21:16:00Z,392.7,2,0.0
2007-07-24T00:16:00Z,390.8,2,0.0
2007-07-24T03:16:00Z,392.9,2,0.0
2007-07-24T06:16:00Z,398.4,2,0.0
2007-07-24T09:16:00Z,401.5,2,0.0
2007-07-24T12:16:00Z,402.1,2,0.0
2007-07-24T15:16:00Z,406.1,2,0.0
2007-07-24T18:16:00Z,400.0,2,0.0
2007-07-24T21:16:00Z,398.9,2,0.0
2007-07-25T00:16:00Z,393.2,2,0.0
2007-07-25T03:16:00Z,399.5,2,0.0
2007-07-25T06:16:00Z,403.3,2,0.0
2007-07-25T09:16:00Z,405.2,2,0.0
2007-07-25T12:16:00Z,407.8,2,0.0
2007-07-25T15:16:00Z,416.1,2,0.0
2007-07-25T18:16:00Z,419.3,2,0.0
2007-07-25T21:16:00Z,409.5,2,0.0
2007-07-26T00:16:00Z,403.6,2,0.0
2007-07-26T03:16:00Z,399.3,2,0.0
2007-07-26T06:16:00Z,404.6,2,0.0
2007-07-26T09:16:00Z,404.1,2,0.0
2007-07-26T12:16:00Z,410.8,2,0.0
2007-07-26T15:16:00Z,408.8,2,0.0
2007-07-26T18:16:00Z,435.3,2,0.0
2007-07-26T21:16:00Z,425.1,2,0.0
2007-07-27T00:16:00Z,413.7,2,0.0
2007-07-27T03:16:00Z,405.0,2,0.0
2007-07-27T06:16:00Z,414.2,2,0.0
2007-07-27T09:16:00Z,413.5,2,0.0
2007-07-27T12:16:00Z,411.6,2,0.0
2007-07-27T15:16:00Z,420.2,2,0.0
2007-07-27T18:16:00Z,443.4,2,0.0
2007-07-27T21:16:00Z,438.5,2,0.0
2007-07-28T00:16:00Z,416.4,2,0.0
2007-07-28T03:16:00Z,415.6,2,0.0
2007-07-28T06:16:00Z,422.7,2,0.0
