time,sea_water_temperature,sea_water_temperature_qc_agg,z
UTC,degree_Celsius,,m
2015-08-12T00:17:00Z,28.568,2,0.0
2015-08-12T03:17:00Z,28.679,2,0.0
2015-08-12T06:17:00Z,28.667,2,0.0
2015-08-12T09:17:00Z,28.559,2,0.0
2015-08-12T12:17:00Z,28.472,2,0.0
2015-08-12T15:17:00Z,28.683,2,0.0
2015-08-12T18:17:00Z,29.051,2,0.0
2015-08-12T21:17:00Z,29.362,2,0.0
2015-08-13T00:17:00Z,28.759,2,0.0
2015-08-13T03:17:00Z,28.636,2,0.0
2015-08-13T06:17:00Z,28.851,2,0.0
2015-08-13T09:17:00Z,28.682,2,0.0
2015-08-13T12:17:00Z,28.609,2,0.0
2015-08-13T15:17:00Z,28.671,2,0.0
2015-08-13T18:17:00Z,28.881,2,0.0
2015-08-13T21:17:00Z,28.825,2,0.0
2015-08-14T00:17:00Z,28.703,2,0.0
2015-08-14T03:17:00Z,28.704,2,0.0
2015-08-14T06:17:00Z,28.887,2,0.0
2015-08-14T09:17:00Z,28.796,2,0.0
2015-08-14T12:17:00Z,28.728,2,0.0
2015-08-14T15:17:00Z,28.75,2,0.0
2015-08-14T18:17:00Z,28.944,2,0.0
2015-08-14T21:17:00Z,28.945,2,0.0
2015-08-15T00:17:00Z,28.788,2,0.0
2015-08-15T03:17:00Z,28.786,2,0.0
2015-08-15T06:17:00Z,28.832,2,0.0
2015-08-15T09:17:00Z,28.786,2,0.0
2015-08-15T12:17:00Z,28.724,2,0.0
2015-08-15T15:17:00Z,28.819,2,0.0
2015-08-15T18:17:00Z,29.045,2,0.0
2015-08-15T21:17:00Z,29.021,2,0.0
2015-08-16T00:17:00Z,28.904,2,0.0
2015-08-16T03:17:00Z,28.879,2,0.0
2015-08-16T06:17:00Z,28.877,2,0.0
2015-08-16T09:17:00Z,28.895,2,0.0
2015-08-16T12:17:00Z,28.833,2,0.0
2015-08-16T15:17:00Z,28.804,2,0.0
2015-08-16T18:17:00Z,28.983,2,0.0
2015-08-16T21:17:00Z,29.035,2,0.0
2015-08-17T00:17:00Z,28.892,2,0.0
2015-08-17T03:17:00Z,28.852,2,0.0
2015-08-17T06:17:00Z,28.899,2,0.0
2015-08-17T09:17:00Z,28.907,2,0.0
2015-08-17T12:17:00Z,28.849,2,0.0
2015-08-17T15:17:00Z,28.965,2,0.0
2015-08-17T18:17:00Z,29.323,2,0.0
2015-08-17T21:17:00Z,29.411,2,0.0
2015-08-18T00:17:00Z,29.104,2,0.0
2015-08-18T03:17:00Z,29.01,2,0.0
2015-08-18T06:17:00Z,28.985,2,0.0
2015-08-18T09:17:00Z,28.996,2,0.0
2015-08-18T12:17:00Z,28.94,2,0.0
2015-08-18T15:17:00Z,29.01,2,0.0
2015-08-18T18:17:00Z,29.359,2,0.0
2015-08-18T21:17:00Z,29.901,2,0.0
2015-08-19T00:17:00Z,29.238,2,0.0
2015-08-19T03:17:00Z,29.113,2,0.0
2015-08-19T06:17:00Z,29.037,2,0.0
2015-08-19T09:17:00Z,29.015,2,0.0
2015-08-19T12:17:00Z,28.969,2,0.0
2015-08-19T15:17:00Z,29.183,2,0.0
2015-08-19T18:17:00Z,29.633,2,0.0
2015-08-19T21:17:00Z,29.987,2,0.0
2015-08-20T00:17:00Z,29.694,2,0.0
2015-08-20T03:17:00Z,29.317,2,0.0
2015-08-20T06:17:00Z,29.302,2,0.0
2015-08-20T09:17:00Z,29.271,2,0.0
2015-08-20T12:17:00Z,29.258,2,0.0
2015-08-20T15:17:00Z,29.345,2,0.0
2015-08-20T18:17:00Z,29.852,2,0.0
2015-08-20T21:17:00Z,29.995,2,0.0
2015-08-21T00:17:00Z,29.747,2,0.0
2015-08-21T03:17:00Z,29.71,2,0.0
2015-08-21T06:17:00Z,29.645,2,0.0
2015-08-21T09:17:00Z,29.649,2,0.0
2015-08-21T12:17:00Z,29.434,2,0.0
2015-08-21T15:17:00Z,29.496,2,0.0
2015-08-21T18:17:00Z,30.048,2,0.0
2015-08-21T21:17:00Z,29.893,2,0.0
2015-08-22T00:17:00Z,29.747,2,0.0
2015-08-22T03:17:00Z,29.629,2,0.0
2015-08-22T06:17:00Z,29.583,2,0.0
2015-08-22T09:17:00Z,29.68,2,0.0
2015-08-22T12:17:00Z,29.495,2,0.0
2015-08-22T15:17:00Z,29.7,2,0.0
2015-08-22T18:17:00Z,29.705,2,0.0
2015-08-22T21:17:00Z,29.76,2,0.0
2015-08-23T00:17:00Z,29.806,2,0.0
2015-08-23T03:17:00Z,29.714,2,0.0
2015-08-23T06:17:00Z,29.574,2,0.0
2015-08-23T09:17:00Z,29.569,2,0.0
2015-08-23T12:17:00Z,29.56,2,0.0
2015-08-23T15:17:00Z,29.433,2,0.0
2015-08-23T18:17:00Z,29.937,2,0.0
2015-08-23T21:17:00Z,29.99,2,0.0
2015-08-24T00:17:00Z,29.642,2,0.0
2015-08-24T03:17:00Z,29.628,2,0.0
2015-08-24T06:17:00Z,29.458,2,0.0
2015-08-24T09:17:00Z,29.398,2,0.0
2015-08-24T12:17:00Z,29.377,2,0.0
2015-08-24T15:17:00Z,29.487,2,0.0
2015-08-24T18:17:00Z,29.956,2,0.0
2015-08-24T21:17:00Z,29.874,2,0.0
2015-08-25T00:17:00Z,29.985,2,0.0
2015-08-25T03:17:00Z,29.852,2,0.0
2015-08-25T06:17:00Z,29.725,2,0.0
2015-08-25T09:17:00Z,29.557,2,0.0
2015-08-25T12:17:00Z,29.358,2,0.0
2015-08-25T15:17:00Z,29.617,2,0.0
2015-08-25T18:17:00Z,29.724,2,0.0
2015-08-25T21:17:00Z,30.302,2,0.0
2015-08-26T00:17:00Z,29.639,2,0.0
2015-08-26T03:17:00Z,29.708,2,0.0
2015-08-26T06:17:00Z,29.537,2,0.0
2015-08-26T09:17:00Z,29.46,2,0.0
2015-08-26T12:17:00Z,29.479,2,0.0
2015-08-26T15:17:00Z,29.613,2,0.0
2015-08-26T18:17:00Z,29.847,2,0.0
2015-08-26T21:17:00Z,30.005,2,0.0
2015-08-27T00:17:00Z,29.794,2,0.0
2015-08-27T03:17:00Z,29.827,2,0.0
2015-08-27T06:17:00Z,29.711,2,0.0
2015-08-27T09:17:00Z,29.486,2,0.0
2015-08-27T12:17:00Z,29.435,2,0.0
2015-08-27T15:17:00Z,29.601,2,0.0
2015-08-27T18:17:00Z,29.848,2,0.0
2015-08-27T21:17:00Z,29.842,2,0.0
2015-08-28T00:17:00Z,29.597,2,0.0
2015-08-28T03:17:00Z,29.613,2,0.0
2015-08-28T06:17:00Z,29.562,2,0.0
2015-08-28T09:17:00Z,29.504,2,0.0
2015-08-28T12:17:00Z,29.464,2,0.0
2015-08-28T15:17:00Z,29.56,2,0.0
2015-08-28T18:17:00Z,29.799,2,0.0
2015-08-28T21:17:00Z,29.545,2,0.0
2015-08-29T00:17:00Z,29.382,2,0.0
2015-08-29T03:17:00Z,29.461,2,0.0
2015-08-29T06:17:00Z,29.539,2,0.0
2015-08-29T09:17:00Z,29.463,2,0.0
2015-08-29T12:17:00Z,29.316,2,0.0
2015-08-29T15:17:00Z,29.415,2,0.0
2015-08-29T18:17:00Z,29.541,2,0.0
2015-08-29T21:17:00Z,29.431,2,0.0
2015-08-30T00:17:00Z,29.344,2,0.0
2015-08-30T03:17:00Z,29.327,2,0.0
2015-08-30T06:17:00Z,29.319,2,0.0
2015-08-30T09:17:00Z,29.291,2,0.0
2015-08-30T12:17:00Z,29.215,2,0.0
2015-08-30T15:17:00Z,29.217,2,0.0
2015-08-30T18:17:00Z,29.096,2,0.0
