time,sea_water_practical_salinity,sea_water_practical_salinity_qc_agg,z
UTC,1e-3,,m
2008-10-11T00:17:00Z,36.068,2,0.0
2008-10-11T03:17:00Z,35.993,2,0.0
2008-10-11T06:17:00Z,36.015,2,0.0
2008-10-11T09:17:00Z,36.062,2,0.0
2008-10-11T12:17:00Z,36.043,2,0.0
2008-10-11T15:17:00Z,36.049,2,0.0
2008-10-11T18:17:00Z,36.048,2,0.0
2008-10-11T21:17:00Z,36.075,2,0.0
2008-10-12T00:17:00Z,36.075,2,0.0
2008-10-12T03:17:00Z,36.036,2,0.0
2008-10-12T06:17:00Z,35.996,2,0.0
2008-10-12T09:17:00Z,35.903,2,0.0
2008-10-12T12:17:00Z,35.946,2,0.0
2008-10-12T15:17:00Z,35.947,2,0.0
2008-10-12T18:17:00Z,35.945,2,0.0
2008-10-12T21:17:00Z,36.014,2,0.0
2008-10-13T00:17:00Z,36.035,2,0.0
2008-10-13T03:17:00Z,36.0,2,0.0
2008-10-13T06:17:00Z,35.901,2,0.0
2008-10-13T09:17:00Z,35.798,2,0.0
2008-10-13T12:17:00Z,35.832,2,0.0
2008-10-13T15:17:00Z,35.671,2,0.0
2008-10-13T18:17:00Z,35.748,2,0.0
2008-10-13T21:17:00Z,35.783,2,0.0
2008-10-14T00:17:00Z,35.841,2,0.0
2008-10-14T03:17:00Z,35.87,2,0.0
2008-10-14T06:17:00Z,35.897,2,0.0
2008-10-14T09:17:00Z,35.921,2,0.0
2008-10-14T12:17:00Z,35.862,2,0.0
2008-10-14T15:17:00Z,35.934,2,0.0
2008-10-14T18:17:00Z,35.915,2,0.0
2008-10-14T21:17:00Z,35.853,2,0.0
2008-10-15T00:17:00Z,35.868,2,0.0
2008-10-15T03:17:00Z,35.872,2,0.0
2008-10-15T06:17:00Z,35.906,2,0.0
2008-10-15T09:17:00Z,35.832,2,0.0
2008-10-15T12:17:00Z,35.865,2,0.0
2008-10-15T15:17:00Z,35.913,2,0.0
2008-10-15T18:17:00Z,35.91,2,0.0
2008-10-15T21:17:00Z,35.862,2,0.0
2008-10-16T00:17:00Z,35.854,2,0.0
2008-10-16T03:17:00Z,35.886,2,0.0
2008-10-16T06:17:00Z,35.907,2,0.0
2008-10-16T09:17:00Z,35.893,2,0.0
2008-10-16T12:17:00Z,35.861,2,0.0
